from,to,relationship
uvdl,lk,2
uvdl,cs,1
uvdl,nr,1
uvdl,sw,1
lk,sw,1
lk,cs,1
lk,nr,1
nr,sw,1
nr,cs,1
sw,cs,1
cl,nr,1
cl,kl,1
cl,lm,1
cl,kd,1
cl,el,1
kl,lm,1
kl,kd,1
kl,el,1
lm,kd,1
lm,el,1
kd,el,1
ab,ft,1
ab,am,1
ab,ag,1
ab,er,1
ft,am,1
ft,ag,1
ft,er,1
am,ag,1
am,er,1
rh,lk,1
rh,cm,1
rh,kp,1
rh,rk,1
cm,kp,1
cm,rk,1
kp,rk,1
clb,ag,1
clb,sb,1
clb,ch,1
clb,mw,1
sb,ch,1
sb,mw,1
ch,mw,1
os,uvd,2
os,lk,2
os,clb,2
